timestamp,tweet_text
2021-12-09 17:00:12+00:00,"Today we shared details about how @CVSHealth is revolutionizing the consumer health care experience. Our future will be defined by delivering a personalized, superior health experience for consumers, supporting them through every moment of their health. https://t.co/RqpA7f2KkK"
2021-12-02 16:38:09+00:00,It was a pleasure to join @Microsoft CEO @SatyaNadella during the @Forbes Healthcare Summit for a discussion about how we’re working together to create seamless connections – digitally and in person – that support consumers during every moment of health. https://t.co/PcgvWHjdAd
2021-12-01 14:29:59+00:00,"Congratulations to this year’s #Bloomberg50. I’m honored to be recognized alongside these incredible innovators, leaders, and entertainers. This recognition truly belongs to our 300,000 dedicated CVS Health colleagues who prove that #HealthierHappensTogether! https://t.co/pQGZEiNDHS"
2021-11-11 14:00:19+00:00,"On #VeteransDay, I want to recognize and thank our colleagues who are veterans. I’m so grateful for your contributions and the values and character you bring to CVS Health’s culture. #TeamCVS https://t.co/ncA64GVJ9e"
2021-11-03 13:15:11+00:00,"Earlier today @CVSHealth posted third quarter 2021 earnings results, and I’m incredibly proud of what we had to share. As always, I’m thankful for #TeamCVS and inspired by the dedication and heart they bring to the communities we serve. https://t.co/XzjG2q8sOB"
2021-10-26 17:59:59+00:00,"Congratulations to my fellow honorees at last night’s @CEDupdate Distinguished Leadership awards. This award belongs to @CVSHealth's 300,000 colleagues, who have met – and continue to meet – this unprecedented moment in our country. https://t.co/X6DvLEFUpN"
2021-10-19 14:30:17+00:00,"I was saddened to learn of the passing of former U.S. Secretary of State Colin Powell. He was a dedicated public servant, committed to serving our country and my thoughts &amp; prayers are with his family &amp; loved ones."
2021-10-18 12:49:18+00:00,Excited to welcome Dr. Joneigh Khaldun as @CVSHealth's first-ever Chief Health Equity Officer. Her expertise will help us transform care delivery and eliminate the barriers to care so many Americans face. https://t.co/Hjs6UkQMu6
2021-10-13 16:51:44+00:00,"Saddened to hear about Brian Goldner, CEO of RI-based @Hasbro, a company that inspired many and brought joy to millions. My thoughts are with Brian’s family. His legacy will endure in households across the country."
2021-10-12 20:57:55+00:00,Great conversation today with @FortuneMagazine's @mariaaspan on what I’ve learned throughout the pandemic and the path forward as @CVSHealth transforms care. #FortuneMPW https://t.co/S2kfzIxHJA
2021-10-04 14:02:55+00:00,"I’m so impressed with my fellow honorees on @FortuneMagazine’s Most Powerful Women for 2021. I’m pleased to be acknowledged alongside an incredible list of strong, innovative leaders driving meaningful change in business and society. #FortuneMPW https://t.co/uEalRFGm77"
2021-09-22 18:31:11+00:00,"On 9/24, @CVSHealth will host a one-day career event to help us fill 25K clinical and retail jobs nationwide. It’s part of our commitment to supporting our colleagues and customers and to creating job opportunities in the communities we serve. #TeamCVS https://t.co/2BvZIui8Xd https://t.co/wU8hnINTHz"
2021-09-22 16:19:51+00:00,"@WBCollaborative @CVSHealth It was a great discussion! Congratulations @SecRaimondo on this well-deserved recognition – and thank you for your commitment to advancing gender equality, diversity and to increasing opportunities for women in business. #WBCSummit"
2021-09-11 11:42:40+00:00,"As we mark the 20th anniversary of 9/11, my thoughts are with those who lost loved ones on that fateful day. I’m also grateful for our brave heroes, including our @CVSHealth colleagues, who helped America recover from a moment that changed the course of our nation’s history. https://t.co/h673H1PRHB"
2021-09-06 12:27:47+00:00,"This #LaborDay, I’m especially grateful for our @CVSHealth colleagues who have worked tirelessly throughout the pandemic. They bring their heart to work every day, and their commitment to those we serve has helped America persevere. 
Happy Labor Day! #TeamCVS https://t.co/p1KDn86T3K"
2021-08-13 18:12:34+00:00,"Mary Jo Nolen is @CVSHealth’s longest tenured colleague &amp; is celebrating her 62nd work anniversary! She truly embodies what it means to bring your heart to work every day. Mary Jo, thanks for your dedication &amp; loyal service. #TeamCVS is lucky to have you! https://t.co/FKrEuguUv8 https://t.co/MVe9UmMU6C"
2021-07-27 14:28:02+00:00,"#COVID19 exacerbated health care disparities, especially for people of color. At @CVSHealth, we’re providing customers like Angela w/access to timely care. Watch Angela’s story. #BIPOCMentalHealthMonth  #healthequity https://t.co/Hf5KtwBPZM"
2021-07-23 14:50:59+00:00,"A year ago, @CVSHealth committed to investing nearly $600M over five years to advance social justice and equity. Read @kcdiversity’s post to learn about how we’re helping to improve equality in health care. https://t.co/fvC4LZPyqm"
2021-07-12 13:21:14+00:00,I’m proud to share @CVSHealth's evolved purpose statement - Bringing Our Heart to Every Moment of Your Health. This purpose will guide our efforts to create and deliver more human-centric #health care for a rapidly changing world. #purpose #mission #values https://t.co/W5q6nF2fZ6 https://t.co/5K7MnZkrek
2021-07-09 15:02:43+00:00,"Congratulations to @AJassy as he begins his new role as CEO of @Amazon. Andy, I wish you the best of luck as you officially take the helm of a company you have worked so tirelessly to help build."
2021-07-08 19:22:23+00:00,"@CVSHealth's new 2021 Health Care Insights Study finds that as a result of #COVID19, more people are prioritizing their health &amp; want a personalized health care experience. Now more than ever, we need to transform health care for every American. Read more: https://t.co/ffLWczkWfR https://t.co/kJUQo0GNQz"
2021-07-04 13:15:12+00:00,"This #IndependenceDay marks a special turning point. With deep gratitude to our country's #healthcare heroes, more of us are feeling free to gather with family and friends, renewing our appreciation of the simple joys of summer, celebration and community. #HappyFourth! https://t.co/27cpHNutJV"
2021-06-18 18:27:47+00:00,Thank you to members of @congressdotgov for designating #Juneteenth a federal holiday. Today we should celebrate #emancipation &amp; look ahead to a brighter future. https://t.co/rJVMldvHcQ https://t.co/XVmlWek53Q
2021-06-09 17:10:13+00:00,We’re proud to support the LGBTQ community. We recently signed the @HRC’s Business Statement Opposing Anti-LGBTQ State Legislation to fight health care discrimination on the basis of sexual orientation or gender identity. #PrideMonth #progress @CVSHealth https://t.co/F0zY6D0PdU https://t.co/3QO45IBr0Z
2021-06-04 16:49:10+00:00,"At our senior leadership forum, our new CFO Shawn Guertin talked about the power of purpose in driving company growth. Shawn will play a critical role in making @CVSHealth an even bigger part of consumers’ everyday health. Welcome, Shawn! https://t.co/Knj7yrh0ct https://t.co/t4mJhM2iH8"
2021-05-31 12:51:28+00:00,"Today, and every day, I am humbled by and grateful to the countless men and women of our armed forces, especially those who made the ultimate sacrifice for our freedom. Thank you for your service to our country. #MemorialDay https://t.co/dE6dBU7LSx"
2021-05-14 15:25:27+00:00,"For all of us at @CVSHealth, every month is #MentalHealthAwarenessMonth. We’re all facing collateral damage to our well-being in the wake of the pandemic. It’s time to take meaningful &amp; measurable action. Read more on our plans here. https://t.co/sIgCI1bEcZ"
2021-05-13 12:25:49+00:00,"Starting today, adolescents aged 12–15 can receive a #COVID19 vaccine at 5,600+ @CVSPharmacy locations nationwide. It’s exciting to help bring our youth #OneStepCloser to the moments they’ve missed. #MomentofHealth @CVSHealth https://t.co/DweeoE7hba https://t.co/0yBhMuT58g"
2021-05-06 15:28:56+00:00,"This #NationalNursesDay, I want to thank nurses, including our @CVSHealth nurses, for being frontline heroes who lead with heart. Your resilience &amp; courage have inspired a nation. #TeamCVS❤️ https://t.co/mj8KRLNKja"
2021-05-03 17:29:09+00:00,"At @FortuneMagazine @bstormhealth, I talked to @ariannahuff about how mental health has been the collateral damage of the pandemic. Watch our discussion to hear how @CVSHealth is addressing post traumatic #COVID19 disorder &amp; building resilience in America. https://t.co/SjdKntJ2LW"
2021-04-28 16:00:36+00:00,"It’s frontline heroes like David, an @Omnicare pharmacist, who inspire us to work hard to end the pandemic. David coordinated a new #COVID19 antibody infusion treatment at a senior care facility. Thank you, David, for your commitment to those we serve. https://t.co/cY4dvw1o6n https://t.co/nMAt1cyP4P"
2021-04-23 14:18:27+00:00,I was proud to spend a day greeting customers at my local @cvspharmacy where I helped a 90-year-old man get his #COVID19 #vaccine. He was one of many customers who walked away with a sense of relief &amp; pure #joy. These are the moments that bring us #OneStepCloser to each other. https://t.co/y7Fufquqjs
2021-04-22 14:02:57+00:00,We all play a role in protecting our planet. @CVSHealth is doing its part by reducing its environmental impact by at least 50% by 2030. It’s one of the many ways we’re helping people on their path to better health. #EarthDay2021 https://t.co/ItP0InOXSX
2021-04-15 17:05:17+00:00,I want to thank @Pfizer's @AlbertBourla and @CNBC’s @BerthaCoombs for joining me on @CVSHealth LIVE today. The race to vaccinate America continues and achieving #VaccineEquity is critical to ending #COVID19. Watch the replay: https://t.co/d1sNWxbVl1
2021-04-13 14:14:24+00:00,Join us on 4/15 at Noon ET for @CVSHealth LIVE. Pfizer CEO @AlbertBourla &amp; I will do our first-ever joint interview to discuss how strong collaboration will help end the #COVID19 pandemic &amp; restore hope in America. @CNBC’s @BerthaCoombs will be our moderator. https://t.co/ByL4XPmnJj
2021-04-07 12:33:54+00:00,"Systemic racism &amp; injustice continue to impact equal access to quality care. It’s time for real change. That’s why on #WorldHealthDay &amp; every day, I stand with the @WHO, @DrTedros &amp; other leaders in building a more equitable health care system. https://t.co/vTaMUd34Wn"
2021-04-05 17:50:36+00:00,"Stories like Carol’s serve as a reminder of #TeamCVS’s commitment to vaccinate Americans. Thank you, Carol, for pushing back your retirement to help with vaccination efforts. It’s an honor to have you on our team! https://t.co/GxBOI1tui5 #MomentofHealth"
2021-04-05 12:31:14+00:00,"Each #COVID19 #vaccination means healthier communities &amp; safely reuniting with loved ones. I’m proud that @CVSHealth is bringing us #OneStepCloser to creating the moments we’ve missed. For me, it means finally introducing my family &amp; friends to my puppy, Piper! #MomentofHealth https://t.co/syKHZfNMEB"
2021-04-01 14:29:21+00:00,"Today, we announced that @CVSHealth has administered 10M+ #COVID19 vaccine doses nationwide. When we work together, we can overcome the impossible. I’m proud of #TeamCVS &amp; all our health care professionals – the true heroes in this story. https://t.co/DywQ8ACHRl #MomentofHealth https://t.co/SW6l60v0dz"
2021-03-31 13:54:10+00:00,"I’m proud of @CVSHealth’s commitment to reimagining health care. Through our “Transform Health 2030” CSR strategy, you’ll find a set of bold goals for creating better health care experiences and ultimately a healthier, happier world. https://t.co/9tNv3Q6S6C"
2021-03-30 20:00:53+00:00,"On #NationalDoctorsDay, we celebrate physicians across the U.S. We see your sacrifices and your contributions, both on the frontlines of the #pandemic and in every meaningful #MomentofHealth. Thank you for your service. #DoctorsDay2021 https://t.co/j5ySmK7SiE"
2021-03-26 14:59:30+00:00,Congrats to the Biden Administration in reaching 100M #COVID19 vaccinations in the first 100 days. Yesterday @POTUS announced a new goal of 200M doses by 4/30. @CVSHealth will continue to play a role in the efforts to vaccinate every eligible American. https://t.co/Yti6M50Upf
