timestamp,tweet_text
2022-08-31 18:06:24+00:00,"@LindnerCollege @LandOLakesInc So pleased to have Cameron with us!  Welcome to the team full-time, Cameron.  Great job, Lindner College faculty!"
2022-06-22 14:19:01+00:00,"Thank you for your partnership, @cecilebeliot.  We look forward to expanding and scaling this program to additional dairies and supply chain participants in 2022. https://t.co/8ef6Jk6iYJ"
2022-06-21 19:06:26+00:00,Thanks for the opportunity to share some thoughts! https://t.co/P1atTbAdks
2022-06-09 15:36:42+00:00,"I had such a great time ‘sitting down’ with @CBZakin and @theSkimm to talk leadership, women in the workplace and career journeys. And, who doesn’t love a good lightning round? Listen in! https://t.co/AcU88QsDBA"
2022-06-08 15:37:50+00:00,"Once again honored to be listed among such a powerful and influential group. What a great way to kick off a month that celebrates what's possible when we all can be our authentic selves. Thanks, @FastCompany!
https://t.co/DyLWX1zUgS"
2022-05-24 13:43:33+00:00,"Our members, employees and American Connection Project partners are helping close the #digitaldivide -- #broadband is one of the greatest enablers of our time.
 
Share this story. Make a difference. 
https://t.co/oMRImwY5rV"
2022-05-16 21:39:37+00:00,It was terrific to share thoughts with these impressive grads. Thanks for the opportunity…and for the honorary degree! https://t.co/rkqiBmLbAb
2022-05-15 20:14:12+00:00,So enjoyed sharing thoughts with the graduating class at ISU!  So much potential. And thanks for the honorary degree! https://t.co/YUzHUqqLMA
2022-05-12 18:15:00+00:00,"Today we make more visible our long-standing commitment to #sustainability and social responsibility. Our founders understood then, as we do now, the power of the community and the #cooperative to not only meet the needs of the day, but to chart a stronger course for tomorrow. https://t.co/iHywcaQiyM"
2022-05-11 16:06:13+00:00,Congratulations graduates!  Look forward to sharing some thoughts and celebrating with you this weekend! https://t.co/2xXfElxnI0
2022-05-03 12:41:56+00:00,"I'm continually impressed by the American Connection Corps Fellows. In less than one year, they've worked hard to boost connectivity and the benefits it provides to their communities. Inspired by their achievements to connect more households, boost digital literacy and more. https://t.co/FF0iQxJMWO"
2022-04-11 17:22:13+00:00,"Thank you, @PoppyHarlowCNN for connecting the very personal stories of my family and my career journey as my “why of the work” to advocate for our member-owners and support our employees. Success is truly measured by how well we can impact the lives of others. https://t.co/c48I7LYrji"
2022-04-05 21:28:18+00:00,Thank you @DepSecGraves for joining the ACP Coalition partners to discuss implementation and how we can work together to close the #digitaldivide. https://t.co/k9k74T211z
2022-04-05 21:25:20+00:00,"We appreciate the opportunity to gather with partners to celebrate the bipartisan infrastructure investment in #broadband, encourage speedy and equitable implementation, and support ongoing connectivity efforts. Read more about the ACP here: https://t.co/SCB875e86v"
2022-04-05 21:24:10+00:00,We’re proud to convene 175+ organizations and lead the American Connection Project and its nationwide footprint that’s focused on increasing investment in #broadband and closing the #digitaldivide.
2022-03-23 00:54:02+00:00,"RT @LandOLakesInc: Our CEO @BethFordLOL met with @USDA @SecVilsack this week to talk #climate, #foodsecurity and the role farmers play in t…"
2022-03-08 23:50:54+00:00,"Working together with our members, employees and partners to help close the #digitaldivide is part of the fabric of our cooperative model – a collaborative, innovative approach to driving change – so proud of this team. 
https://t.co/omm6kJp05m"
2022-02-01 16:29:06+00:00,"RT @LandOLakesInc: ""I don’t think it is an overstatement to say it is a national security issue. How do you create jobs and have food secur…"
2022-01-30 00:52:50+00:00,"Enjoyed the discussion around critical issues with America’s governors at @NatlGovsAssoc #NGAWinterMeeting, including the importance of broadband connectivity for the future of the economy, education and health care. Thanks @AsaHutchinson @SecRaimondo @JulieSweet @Corie_Barry"
2022-01-27 12:11:11+00:00,"RT @dgelles: Land O' Lakes CEO @BethFordLOL on the indispensability of farmers and more. 
(This is a thread of all my Corner Office columns…"
2022-01-13 15:03:46+00:00,"RT @DukeCE: Leadership isn’t about you - it’s about everybody else. @BethFordLOL, CEO of @LandOLakesInc, says joy comes from helping others…"
2022-01-12 16:32:36+00:00,Looking forward to continuing to work with these dynamic CEOs to advance a thriving U.S. economy and expand opportunity for all Americans. https://t.co/UnZ5wlwrmx https://t.co/WWFKl1uXbQ
2021-12-14 16:34:03+00:00,Change happens when we connect people to address problems together and bridge divides. Thanks to @Forbes for sharing our story. #ForbesWomen https://t.co/PoqWI2XK5q
2021-12-08 15:30:20+00:00,"RT @DukeFuqua: ""Enable somebody else’s success. Be a good person, be a good partner... you’ll be surprised at the success you can have as a…"
2021-12-03 21:47:09+00:00,"Using your voice and asking for help from others, including using their voices, moves the ball forward. Thank you @MayoClinic, @CoBank, @_HealthPartners, @Microsoft + @BizRoundtable and thank you for the opportunity @LizFedor. https://t.co/8J3ma0SJqA"
2021-11-15 22:44:30+00:00,RT @LandOLakesInc: Proud of our CEO at the @WhiteHouse today to mark the signing of the bipartisan #infrastructure bill.  We’ve been raisin…
2021-11-15 22:42:25+00:00,"This is a historic moment for our country, @LandOLakesInc farmer- and member-owners and their communities. Thank you to everyone who worked together on a bipartisan basis to get these critical investments in roads, bridges and #broadband to the President’s desk. https://t.co/g1N8rLPB7L"
2021-11-10 15:53:34+00:00,"@maytownsend @LukasFricke Hilarious!  Sorry it didn’t help put them back to sleep…but you know there’s some great stuff in there, not the least of which is Lukas and his insight!"
2021-11-09 17:44:41+00:00,"""It's a wild ride between #butter and #broadband, isn't it?"" Yes, @ReidHoffman. It is. Thanks for highlighting @LandOLakesInc's work across the fields and into the barns, building #sustainability and digital connectivity in this week's @mastersofscale: https://t.co/0jyh8usBYc https://t.co/PFhJwZilr8"
2021-11-06 12:42:46+00:00,"The bipartisan infrastructure bill passage is a historic investment in America’s future, providing needed investment in roads, waterways, broadband -- all critical to each of us. The 42M+ Americans living without broadband will see a narrowing of the #digitaldivide."
2021-10-18 21:49:05+00:00,Look forward to the conversation. https://t.co/uekaC4CkDM
2021-10-13 00:16:02+00:00,"Glad to help keep this important bipartisan issue top-of-mind today in D.C. Thanks @SecRaimondo, @FortuneMagazine and @bethkowitt. https://t.co/Rf5boXnmHM"
2021-10-12 19:48:19+00:00,Celebrating #NationalFarmersDay by talking with leaders who can make a difference for our members. Appreciate the opportunity to discuss challenges and opportunities facing rural areas and how we work together. Thank you @USDA @DepSecBronaugh https://t.co/jVb9TVVHns
2021-10-12 13:10:09+00:00,"At @LandOLakesInc, every day is #NationalFarmersDay. We address issues impacting farmers’ lives and livelihoods -- delivering tech, insights, services and market access, as well as advocating on their behalf. Proud to pass the mic to a few hardworking farmer-owners. https://t.co/3pOx4hOkDd"
2021-10-07 21:22:04+00:00,"Trade, immigration and infrastructure are crucial issues to the resilience of the American farmer. Those aren't rural and urban issues. Our food supply is a pillar of our national security and our futures together as Americans. Full convo @BusinessInsider https://t.co/QDfrnVA9zB https://t.co/so46votSjH"
2021-10-06 16:54:31+00:00,"RT @OutandEqual: When we talk about ""bringing your whole self to work"", @BethFordLOL understands the assignment. ✅ #OESummit #FutureOfWork…"
2021-10-04 17:09:14+00:00,"Honored to be listed among these incredible leaders. Thanks, @FortuneMagazine. https://t.co/btl1Mj9GjT"
2021-10-04 17:08:32+00:00,"Thank you @bethkowitt for taking a hard look at this concerning issue and @IndraNooyi, @EllenKullman, @Corie_Barry and Ursula Burns for engaging in the conversation. We need to keep making progress. https://t.co/ggZG9xqPa0"
2021-09-18 14:47:05+00:00,"What a treat spending time with you, Lukas. Future of Ag!  Innovator!  You rock. https://t.co/dDVSEJ8exA"
2021-08-26 23:36:09+00:00,"RT @CoBank: CoBank, @LandOLakesInc and @farmcreditmid are partnering to support relief efforts in Tennessee, following devastating storms a…"
2021-08-11 22:10:36+00:00,"Over the past year, we convened the American Connection Project Policy Coalition to support passage of a major #broadband investment. We now look forward to working with members of the U.S. House to send this important bill to the President's desk. https://t.co/SCB875e86v"
2021-08-11 22:09:42+00:00,"I'm pleased to see the Senate take this monumental step in passing this historic, bipartisan #infrastructure bill. It's critical to our security today and our competitive edge tomorrow. https://t.co/9YXQdxYNDy"
2021-08-06 17:42:34+00:00,We at @LandOLakesInc are proud to partner with 165 organizations by leading the American Connection Project and its nationwide footprint that’s focused on increasing investment in #broadband and closing the #digitaldivide: https://t.co/wOROHNVl0V
2021-08-06 17:41:00+00:00,"The cost of inaction on #infrastructure is too high. We urge passage of the Infrastructure Investments and Jobs Act, a critical investment in our future. Thank you @GovLauraKelly + Stan Stark of our @LandOLakesInc retail-owner @AllianceAgGrain for this: https://t.co/zXhWKyG2A3"
2021-08-04 14:27:47+00:00,"Thanks to the dedicated team for doing the hard work on behalf of our members every day.
https://t.co/UN9dnO1mXb"
2021-08-02 16:22:50+00:00,Thanks @patricktcondon and @StarTribune for spending some time with @LandOLakesInc talking about our member-owners and the work we do on their behalf. https://t.co/EZYlYy5jLe
2021-07-20 20:51:36+00:00,"RT @GovLauraKelly: Thank you, @BethFordLOL, for your partnership and leadership. We’ll continue making strategic investments to ensure ever…"
2021-07-19 18:53:31+00:00,"Through the American Connection Project, more than 160 partners are joining together to advocate for an investment in #broadband #infrastructure. https://t.co/wOROHOcWpv"
2021-07-19 18:53:05+00:00,Thank you for joining us to also highlight the urgency of passing major #infrastructure investment for communities here in Kansas and across America. https://t.co/m2yLRD7bhH
2021-07-19 18:51:48+00:00,"Grateful to join @GovLauraKelly , @kansasdeptofag Secretary Mike Beam, @AllianceAgGrain , @LeadForAmerica_ and offices of @JerryMoran , @rogermarshallMD and @RepMann for the Kansas ACC Fellow announcement to help communities solve connectivity challenges. https://t.co/So6HPXAi4x"
2021-07-09 18:36:03+00:00,RT @BizRoundtable: @BethFordLOL of @LandOLakes highlights opportunities for American families provided by #infrastructure investment. https…
2021-07-02 12:02:01+00:00,"A significant #infrastructure package including #broadband will address inequities and opportunities -- ensuring all communities -- both rural and urban -- live in a vibrant, connected environment: https://t.co/FfncwWFg94 https://t.co/ZRSXCqU14a"
2021-07-01 18:07:44+00:00,"RT @BizRoundtable: 📽️ Premiering Tomorrow 📽️ 

In our second episode of #BRTTV, leaders of @Bechtel, @LandOLakesInc, @united and @BizRoundt…"
2021-06-25 19:39:36+00:00,"#Farmer and #ag retailer ownership gives us unique insight and advantage as our @TruterraLLC brings together #data over time, agronomic advice and reliable verification for on-farm #sustainability. #WSJFood
https://t.co/RepPD9P6Dn"
2021-06-23 16:35:31+00:00,RT @LandOLakesInc: Carbon markets are gaining popularity across all industries and #ag is no exception. What does it take for farmers to pa…
2021-06-17 20:04:51+00:00,Technology. A growth mindset. An empowered team. Authentic selves. All critical to a robust and healthy life and modernizing business and communities for the future. Thanks @andrewxwilson and @microsoft for the great conversation! https://t.co/o0AKHKyBnu https://t.co/FFgPz7a4mF
2021-06-16 20:08:10+00:00,"RT @BizRoundtable: BRT member @BethFordLOL, President and CEO of @LandOLakesInc, on the importance of greater diversity of talent for all a…"
2021-06-09 15:35:37+00:00,"Investing in rural communities doesn't just make life better for farmers. ""Everybody should be concerned about this, because food is a security issue. It's an American competitiveness issue."" Honored to be one of the 2021 @EatingWell #AmericanFoodHeroes https://t.co/D5MxKz8Ev9 https://t.co/DxpdaRGL12"
